"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked 
Passenger 
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"Liberty Transit","Hinesville","GA","4193","40193","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",51456,3,NA,0,NA,0,NA,0,NA,106859,NA,0,NA,0,NA,8383,NA,0,NA,0,NA,0,NA,0,NA,0,NA,14680,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Atlanta - Department of Public Works - Transit Division","Atlanta","GA","4230","40230","City, County or Local Government Unit or Department of Transportation","Full Reporter",4515419,3,NA,0,NA,27647,NA,27924,NA,26817,NA,1107,NA,8716,NA,8697,NA,19,NA,27924,NA,26817,NA,8716,NA,8697,NA,392906,NA,447912,NA,2.7,NA,"No",NA,NA,NA,NA
"City of Salisbury - Salisbury","Salisbury","NC","4233","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",214881,3,NA,0,NA,0,NA,0,NA,115613,NA,0,NA,0,NA,10049,NA,0,NA,0,NA,0,NA,0,NA,0,NA,161048,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Poarch Band of Creek Indians","Atmore","AL","4T03","44919","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,16631,NA,0,NA,0,NA,2184,"W",0,NA,0,NA,0,NA,0,NA,0,NA,9934,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Leech Lake Band of Ojibwe","Cass Lake","MN","5T08","55258","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,77954,NA,0,NA,0,NA,3063,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9495,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"River Parishes Transit Authority","LaPlace","LA","6112","60112","Independent Public Agency or Authority of Transit Service","Reduced Reporter",899703,3,NA,0,NA,0,NA,0,NA,202078,NA,0,NA,0,NA,12040,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16209,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Conroe","Conroe","TX","6129","60129","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",239938,3,NA,0,NA,0,NA,0,NA,47775,NA,0,NA,0,NA,4746,NA,0,NA,0,NA,0,NA,0,NA,0,NA,20286,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"McKinney Avenue Transit Authority","Dallas","TX","6133","60133","Private-Non-Profit Corporation","Full Reporter",5121892,3,NA,0,NA,76946,NA,64637,NA,64577,NA,60,NA,12562,NA,12330,NA,232,NA,64637,NA,64577,NA,12562,NA,12330,NA,634589,NA,817489,NA,4.5,NA,"No",NA,NA,NA,NA
"Shoshone and Arapaho Tribes DOT","Fort Washakie","WY","8T15","80015","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,69134,NA,0,NA,0,NA,8563,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2510,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Turtle Mtn. Nutrition & Support Services","Belcourt","ND","8R03-042","80212","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,24428,NA,0,NA,0,NA,2834,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3211,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Spirit Lake Tribe","Fort Totten","ND","8T11","88128","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,94714,NA,0,NA,0,NA,4880,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4834,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Ute Tribe","Fort Duchesne","UT","8T19","88200","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,44931,NA,0,NA,0,NA,1581,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2626,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Reno-Sparks Indian Colony","Reno","NV","9T11","90011","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,112576,"Q",0,NA,0,NA,4300,"Q",0,NA,0,NA,0,NA,0,NA,0,NA,13244,NA,0,NA,0,NA,"Yes",NA,NA,NA,NA
"Davis Community Transit","Davis","CA","9167","90167","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",72794,3,NA,0,NA,0,NA,0,NA,68857,NA,0,NA,0,NA,5455,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16831,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Atascadero","Atascadero","CA","9194","90194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",65088,3,NA,0,NA,0,NA,0,NA,53653,NA,0,NA,0,NA,4573,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15708,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Yurok Tribe","Klamath","CA","9T09","99262","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,60786,NA,0,NA,0,NA,3587,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7807,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Blue Lake Rancheria","Blue Lake","CA","9T02","99292","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,43989,NA,0,NA,0,NA,2056,NA,0,NA,0,NA,0,NA,0,NA,0,NA,19896,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Fallon Paiute-Shoshone Tribe","Fallon","NV","9T13","99322","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,6345,NA,0,NA,0,NA,196,NA,0,NA,0,NA,0,NA,0,NA,0,NA,556,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"North Fork Rancheria of Mono Indians of California","North Fork","CA","9T21","99364","Tribe","Reduced Reporter",0,3,NA,0,NA,0,NA,0,NA,65226,"W",0,NA,0,NA,3207,"W",0,NA,0,NA,0,NA,0,NA,0,NA,4040,"W",0,NA,0,NA,"No",NA,NA,NA,NA
"City of Moscow","Moscow","ID","0R01-024","0R01-00288","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,229388,NA,0,NA,0,NA,4915,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6563,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Driggs","Driggs","ID",NA,"0R01-00402","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,75260,NA,0,NA,0,NA,3270,NA,0,NA,0,NA,0,NA,0,NA,0,NA,20076,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Southern Teton Area Rapid Transit","Jackson","WY","8R05-010","0R01-80188","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,2,NA,0,NA,0,NA,39894,NA,0,NA,0,NA,1582,NA,0,NA,0,NA,0,NA,0,NA,0,NA,26336,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Garfield County Transportation Program","Pomeroy","WA","0R03-010","0R03-00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,57657,NA,0,NA,0,NA,3800,NA,0,NA,0,NA,0,NA,0,NA,0,NA,11379,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Coastal Community Action Program","Aberdeen","WA",NA,"0R03-00398","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,92994,NA,0,NA,0,NA,4554,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4022,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Glacier Valley Transit","Girdwood","AK","0R04-011","0R04-00345","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,94807,NA,0,NA,0,NA,6599,NA,0,NA,0,NA,0,NA,0,NA,0,NA,73123,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Town of Goshen","Goshen","NY","2R02-044","2R02-20954","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,33330,NA,0,NA,0,NA,2329,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6362,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Town of Montgomery","Montgomery","NY","2R02-046","2R02-20973","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,82797,NA,0,NA,0,NA,5399,NA,0,NA,0,NA,0,NA,0,NA,0,NA,21164,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Port Jervis","Port Jervis","NY","2R02-012","2R02-20988","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,24616,NA,0,NA,0,NA,2671,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8408,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Borough of Mt. Carmel","Mount Carmel","PA","3R04-004","3R04-30116","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,61273,NA,0,NA,0,NA,5058,NA,0,NA,0,NA,0,NA,0,NA,0,NA,29205,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Town of Chincoteague","Chincoteague Island","VA","3R06-012","3R06-30147","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,17378,NA,0,NA,0,NA,1325,NA,0,NA,0,NA,0,NA,0,NA,0,NA,14728,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Walker County Commission","Jasper","AL","4R01-027","4R01-41173","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,66540,NA,0,NA,0,NA,4176,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3029,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Peach County Transit","Fort Valley","GA","4R03-043","4R03-40910","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,76969,NA,0,NA,0,NA,5840,NA,0,NA,0,NA,0,NA,0,NA,0,NA,11328,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Wilkinson County Commission Transit","Irwinton","GA","4R03-034","4R03-40936","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,99625,NA,0,NA,0,NA,6663,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9401,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Putnam County CommissionTransit","Eatonton","GA","4R03-028","4R03-40945","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,89260,NA,0,NA,0,NA,4855,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15884,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Jones County Transit","Gray","GA","4R03-041","4R03-40946","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,60460,NA,0,NA,0,NA,5332,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6556,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Chattooga County Transit","Summerville","GA","4R03-077","4R03-41012","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,56,NA,0,NA,0,NA,83029,NA,0,NA,0,NA,5566,NA,0,NA,0,NA,0,NA,0,NA,0,NA,10959,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Elbert County","Elberton","GA","4R03-004","4R03-41021","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,119861,NA,0,NA,0,NA,6401,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7898,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Towns County","Hiawassee","GA","4R03-100","4R03-41033","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,30240,NA,0,NA,0,NA,2520,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2197,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Taliaferro County Board of Commissioners","Crawfordville","GA","4R03-030","4R03-41046","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,35558,NA,0,NA,0,NA,3066,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5978,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Telfair County Transit","McRae","GA","4R03-073","4R03-41099","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,33384,NA,0,NA,0,NA,3736,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9774,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Wheeler County Transit","Alamo","GA","4R03-075","4R03-41103","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,50082,NA,0,NA,0,NA,2394,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4121,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Wilcox County Transit","Abbeville","GA","4R03-066","4R03-41156","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,155005,NA,0,NA,0,NA,5624,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4274,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lumpkin County","Dahlonega","GA","4R03-010","4R03-41158","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,34793,NA,0,NA,0,NA,2807,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5244,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Wilkes County Commission Transit","Washington","GA","4R03-033","4R03-41168","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,106729,NA,0,NA,0,NA,5529,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15271,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Crawford County Transit","Roberta","GA","4R03-036","4R03-41176","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,62892,NA,0,NA,0,NA,4968,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3060,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Bleckley County Transit","Cochran","GA","4R03-016","4R03-41196","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,63450,NA,0,NA,0,NA,5424,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6809,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Washington County","Plymouth","NC","4R06-064","4R06-40959","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,143422,NA,0,NA,0,NA,6032,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16267,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hillsdale Dial-A-Ride","Hillsdale","MI","5R03-035","5R03-50268","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,52072,NA,0,NA,0,NA,5201,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31594,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Mahnomen County Human Services","Mahnomen","MN","5R04-025","5R04-50331","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,3277,NA,0,NA,0,NA,323,NA,0,NA,0,NA,0,NA,0,NA,0,NA,877,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Faribault County","Blue Earth","MN","5R04-040","5R04-50378","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,91452,NA,0,NA,0,NA,3768,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7770,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Watonwan County","St. James","MN","5R04-047","5R04-50448","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,185476,NA,0,NA,0,NA,9098,NA,0,NA,0,NA,0,NA,0,NA,0,NA,32529,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Le Sueur, City of","Le Sueur","MN","5R04-041","5R04-50460","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,31586,NA,0,NA,0,NA,4163,NA,0,NA,0,NA,0,NA,0,NA,0,NA,29414,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Southwestern MN Opportunity Council, Inc.","Worthington","MN","5R04-046","5R04-50471","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,17,NA,0,NA,0,NA,92370,NA,0,NA,0,NA,11751,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31576,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Rock County","Luverne","MN","5R04-044","5R04-50512","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,77961,NA,0,NA,0,NA,6011,NA,0,NA,0,NA,0,NA,0,NA,0,NA,20343,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Black River Falls","Black River Falls","WI","5R06-012","5R06-50239","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,133575,NA,0,NA,0,NA,10115,NA,0,NA,0,NA,0,NA,0,NA,0,NA,34839,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Village of Plover","Plover","WI","5R06-031","5R06-50277","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,158960,NA,0,NA,0,NA,7207,NA,0,NA,0,NA,0,NA,0,NA,0,NA,28434,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of River Falls","River Falls","WI","5R06-039","5R06-50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,97659,NA,0,NA,0,NA,8488,NA,0,NA,0,NA,0,NA,0,NA,0,NA,33754,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Neillsville","Neillsville","WI","5R06-028","5R06-50309","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,140070,NA,0,NA,0,NA,10811,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16075,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Whitewater","Whitewater","WI","5R06-048","5R06-50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,110010,NA,0,NA,0,NA,7960,NA,0,NA,0,NA,0,NA,0,NA,0,NA,30554,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Tomah","Tomah","WI","5R06-062","5R06-50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,153404,NA,0,NA,0,NA,12244,NA,0,NA,0,NA,0,NA,0,NA,0,NA,30757,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Platteville","Platteville","WI","5R06-030","5R06-50431","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,116274,NA,0,NA,0,NA,11730,NA,0,NA,0,NA,0,NA,0,NA,0,NA,30482,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Merrill","Merrill","WI","5R06-026","5R06-50505","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,62775,NA,0,NA,0,NA,7426,NA,0,NA,0,NA,0,NA,0,NA,0,NA,69768,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Gonzalez County Senior Citizens Association","Gonzales","TX",NA,"6R05-66279","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,90863,NA,0,NA,0,NA,4192,NA,0,NA,0,NA,0,NA,0,NA,0,NA,10491,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Goliad County","Goliad","TX",NA,"6R05-66281","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,62989,NA,0,NA,0,NA,4121,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6492,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Concordia Senior Citizen Center","Concordia","KS","7R02-044","7R02-70068","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,34800,NA,0,NA,0,NA,3717,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15289,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Morris County Transportation (formerly Morris Co Senior Citizens","Council Grove","KS","7R02-024","7R02-70072","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,59230,NA,0,NA,0,NA,4116,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5191,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lincoln County Public Transportation","Lincoln","KS","7R02-040","7R02-70087","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,12044,NA,0,NA,0,NA,277,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1885,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Pratt County RSVP","Pratt","KS","7R02-091","7R02-70141","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,33314,NA,0,NA,0,NA,2696,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15329,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Doniphan County Services and Workskills","Elwood","KS","7R02-012","7R02-70142","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,116643,NA,0,NA,0,NA,3269,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8097,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Chase County","Cottonwood Falls","KS","7R02-025","7R02-70144","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,8385,NA,0,NA,0,NA,598,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4740,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Elk County","Howard","KS","7R02-073","7R02-70158","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,85029,NA,0,NA,0,NA,2524,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3034,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Elm Acres Youth and Family Services","Pittsburg","KS","7R02-066","7R02-70174","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,25419,NA,0,NA,0,NA,2054,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5547,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Paola/Lakemary Center","Paola","KS","7R02-058","7R02-70178","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,37234,NA,0,NA,0,NA,1147,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3371,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Louisburg Area Senior Citizens, Inc.","Louisburg","KS","7R02-060","7R02-70184","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,32958,NA,0,NA,0,NA,1099,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2733,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Anderson County Council on Aging","Garnett","KS","7R02-056","7R02-70204","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,15989,NA,0,NA,0,NA,2729,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7128,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Rice County Council on Aging","Lyons","KS","7R02-084","7R02-70210","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,54195,NA,0,NA,0,NA,2071,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6479,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Community Senior Service Center","Osawatomie","KS","7R02-055","7R02-70245","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,30056,NA,0,NA,0,NA,1654,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8521,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Mount Vernon","Mt. Vernon","MO","7R03-005","7R03-70085","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,32681,NA,0,NA,0,NA,3756,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16105,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Lamar","Lamar","MO","7R03-004","7R03-70211","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,54007,NA,0,NA,0,NA,2760,NA,0,NA,0,NA,0,NA,0,NA,0,NA,25085,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Guide Rock","Guide Rock","NE","7R04-059","7R04-70098","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,21460,NA,0,NA,0,NA,576,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1836,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hitch & Hay Public Transit","Stratton","NE","7R04-029","7R04-70100","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,91430,NA,0,NA,0,NA,2676,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1941,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Southeast Nebraska Community Action Partnership","Humboldt","NE","7R04-048","7R04-70112","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,21462,NA,0,NA,0,NA,2206,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6484,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Butler County Senior Service Program","David City","NE","7R04-007","7R04-70121","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,42999,NA,0,NA,0,NA,2335,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4077,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Valley County Hospital","Ord","NE","7R04-056","7R04-70130","Private-Non-Profit Corporation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,22050,NA,0,NA,0,NA,838,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6423,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lancaster Co Rural Transit","Lincoln","NE","7R04-037","7R04-70164","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,0,NA,0,NA,0,NA,27750,NA,0,NA,0,NA,1932,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2260,NA,0,NA,0,NA,"No",NA,NA,NA,NA
