"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"Macoupin County, dba: Macoupin County Public Transportation","Carlinville","IL","50252","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"45",,,,,,,,,,,,,,
"Grundy County","Morris","IL","50253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"8",,,,,,,,,,,,,,
"City of Quincy","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","1","0","0","0","0","0","0","1"
"City of Quincy","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"City of Quincy","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","1","0","0","0","0","0","0","1"
"City of Quincy","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"Bureau County, dba: Bureau Putnam Area Rural Transit","Princeton","IL","50263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR","Demand Response","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"Champaign County","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"8",,,,,,,,,,,,,,
"Warren County","Monmouth","IL","50283","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"9","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","1","0","0","0","0","0","1"
"Henry County","Cambridge","IL","50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"16",,,,,,,,,,,,,,
"Fulton County, dba: FCRT","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"6",,,,,,,,,,,,,,
"Shawnee Mass Transit District","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"42","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Shawnee Mass Transit District","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"42","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","0","2","2"
"Shawnee Mass Transit District","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"42","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"South Central Illinois Mass Transit District","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"104","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Kankakee County","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"10",,,,,,,,,,,,,,
"Woodford County","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"9",,,,,,,,,,,,,,
"McLean County","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"27","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"8",,,,,,,,,,,,,,
"Effingham County","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"12",,,,,,,,,,,,,,
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15",,,,,,,,,,,,,,
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"14","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Hancock County","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3",,,,,,,,,,,,,,
"Logan County","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"7",,,,,,,,,,,,,,
"City of Freeport","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15","DR","Demand Response","Administrative Office / Sales Office","1","0","0","0","0","0","0","0","0","0","1"
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"32","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","2","0","0","2"
"Tazewell County","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR","Demand Response","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"11","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Coles County, dba: Coles County Council on Aging","Charleston","IL","50447","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"17","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Whiteside County","Morrison","IL","50458","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"14",,,,,,,,,,,,,,
"Shelby County","Shelbyville","IL","50496","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"29","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"City of Galesburg","Galesburg","IL","50502","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"10","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Sangamon County","Springfield","IL","55307","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"5",,,,,,,,,,,,,,
"Marshall County","Lacon","IL","55313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"10",,,,,,,,,,,,,,
"Douglas County (Illinois), dba: Coles County Council on Aging","Charleston","IL","55315","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"4",,,,,,,,,,,,,,
"Jersey County","Jerseyville","IL","55316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"15",,,,,,,,,,,,,,
"Miller Transportation Bus Services, Inc.","Indianapolis","IN","40469","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Boone County Senior Services, dba: Boone Area Transit System","Lebanon","IN","50230","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"12","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Boone County Senior Services, dba: Boone Area Transit System","Lebanon","IN","50230","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"12","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Marshall County Council on Aging , dba: Marshall County Rural Transit","Plymouth","IN","50246","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"9","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"Steuben County Council on Aging, dba: Steuben County Public Transit","Angola","IN","50248","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"4","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","0","1","1"
"Steuben County Council on Aging, dba: Steuben County Public Transit","Angola","IN","50248","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"4","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","0","1","1"
"City of Richmond, dba: RoseView Transit","Richmond","IN","50249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"9","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County","Anderson","IN","50272","MPO, COG or Other Planning Agency","Rural Reporter","2022",,,,"3","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"48","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","4","1","0","1","0","0","6"
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"48","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"48","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","1","0","0","0","0","1"
"Rush County Senior Services , dba: Ride Rush Public Transit","Rushville","IN","50280","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"4","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"Cass County Council on Aging , dba: Cass Area Transit","Logansport","IN","50281","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"20","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","1","0","0","0","0","0","0","0","0","0","1"
"Cardinal Services , dba: Kosciusko Area Bus Service","Warsaw","IN","50289","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"9","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","1","0","0","0","0","0","0","1"
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"1","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"LaGrange County Council on Aging , dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"9","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"LifeStream Services , dba: The New Interurban","Yorktown","IN","50307","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"14","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2022",,,,"14","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"LifeTime Resources , dba: Catch-a-Ride","Dillsboro","IN","50324","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"20","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"DeKalb County Council on Aging , dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"7","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"DeKalb County Council on Aging , dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"7","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Nebraska Department of Transportation","Lincoln","NE","7R04",,"State Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Blue River Services , dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"14","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","1","0","0","0","0","0","1"
"City of New Castle, dba: New Castle Transit","New Castle","IN","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"4","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Huntington County Council on Aging , dba: Huntington Area Transportation Service","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"15","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Huntington County Council on Aging , dba: Huntington Area Transportation Service","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"15","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","1","0","0","0","0","0","1"
"Area IV Agency on Aging and Community Action Programs , dba: Tippecanoe County Transit","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2022",,,,"5","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"Union County Council on Aging , dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"6","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","1","0","0","0","0","1"
"Orange County First Chance Center , dba: Orange County Transit","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"5","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","1","0","0","0","0","1"
"YMCA of Vincennes , dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"15","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"YMCA of Vincennes , dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"15","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Fayette County Council Agency on Aging and Aged, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2022",,,,"9","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Fayette County Council Agency on Aging and Aged, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2022",,,,"9","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Wells County Council on Aging , dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"5","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","1","0","0","0","0","0","0","0","0","1"
"Noble County Council on Aging , dba: Noble Transit System","Albion","IN","50422","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"11","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","0","1","1"
"Living Wells in Wabash County Council on Aging , dba: Wabash County Transit","Wabash","IN","50441","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"4","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"White County Council on Aging , dba: White County Public Transit","Monticello","IN","50444","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"5","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Miami County YMCA , dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"11","DR","Demand Response","Administrative Office / Sales Office","0","0","1","0","0","0","0","0","0","0","1"
"Miami County YMCA , dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"11","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Whitley County Council on Aging , dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Whitley County Council on Aging , dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Franklin County Senior Services , dba: Franklin County Public Transit","Brookville","IN","50483","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"7","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Fulton County Council on Aging , dba: Fulton County Public Transit","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Fulton County Council on Aging , dba: Fulton County Public Transit","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"8","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Henry County Transportation Network","Napoleon","OH","55480","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"20",,,,,,,,,,,,,,
"City of Marion , dba: Marion Transit System","Marion","IN","50485","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"7","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"City of Marion , dba: Marion Transit System","Marion","IN","50485","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"7","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","1","0","1"
"West Central Indiana Economic Development District","Terre Haute","IN","50493","MPO, COG or Other Planning Agency","Rural Reporter","2022",,,,"6","DR","Demand Response","Administrative Office / Sales Office","1","0","0","0","0","0","0","0","0","0","1"
"Paul Philippe Resource Center  , dba: Clinton County Transit","Frankfort","IN","50499","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"7","DR","Demand Response","Administrative Office / Sales Office","0","0","1","0","0","0","0","0","0","0","1"
"City of Seymour, dba: Seymour Public Transit","Seymour","IN","50501","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Barons Bus INC","Brookpark","OH","55309","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Kankakee-Iroquois Regional Planning Commission","Monon","IN","55310","MPO, COG or Other Planning Agency","Rural Reporter","2022",,,,"18","DR","Demand Response","Administrative Office / Sales Office","1","0","0","0","0","0","2","1","0","0","4"
"Kankakee-Iroquois Regional Planning Commission","Monon","IN","55310","MPO, COG or Other Planning Agency","Rural Reporter","2022",,,,"18","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Shelby Senior Services , dba: ShelbyGo Public Transit","Shelbyville","IN","55664","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"4",,,,,,,,,,,,,,
"Brown County YMCA, dba: ACCESS Brown County Public Transit","Nashville","IN","55665","Private-Non-Profit Corporation","Rural Reporter","2022",,,,"3","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Greyhound Lines, Inc.","Dallas","TX","60208","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Burlington Stage Lines","West Burlington","IA","70116","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Miller Transportation, Inc.","Louisville","KY","44981","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Baron's Bus Inc.","Brookpark","OH","50188","Private-For-Profit Corporation","Rural Reporter","2022",,,,"0",,,,,,,,,,,,,,
"Iosco Transit Corporation","East Tawas","MI","50217","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"6","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Caro Transit Authority","Caro","MI","50224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"15",,,,,,,,,,,,,,
"Arenac County","Standish","MI","50225","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"8","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Shiawassee Area Transportation Agency","Owosso","MI","50227","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"16","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Thunderbay Transportation Authority","Alpena","MI","50233","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"23","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Schoolcraft Transit Authority","Manistique","MI","50240","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"10","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Eastern Upper Peninsula Transportation Authority","Sault Sainte Marie","MI","50241","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"11","FB","Ferryboat","Ferryboat Terminal","0","0","0","0","0","0","0","6","0","0","6"
"Roscommon County Transportation Authority","Prudenville","MI","50242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"24","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Roscommon County Transportation Authority","Prudenville","MI","50242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"24","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Isabella County Transportation Commission","Mt. Pleasant","MI","50244","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"39","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Eaton County Transportation Authority","Charlotte","MI","50260","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022","47719","Lansing, MI","300032","24","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Eaton County Transportation Authority","Charlotte","MI","50260","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022","47719","Lansing, MI","300032","24","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Marshall, City of","Marshall","MI","50265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"5","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Marshall, City of","Marshall","MI","50265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"5","DR","Demand Response","Maintenance Facility (Service and Inspection)","0","0","0","1","0","0","0","0","0","0","1"
"Coshocton County Coordinated Transportation Agency","Coshocton","OH","55469","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"9",,,,,,,,,,,,,,
"Hillsdale Dial-A-Ride","Hillsdale","MI","50268","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"3","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Kalkaska Public Transit Authority","Kalkaska","MI","50282","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"18","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Kalkaska Public Transit Authority","Kalkaska","MI","50282","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"18","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","1","0","0","1"
"Straits Regional Ride","Cheboygan","MI","50285","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"12",,,,,,,,,,,,,,
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"10","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"10","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Charlevoix County Public Transportation","Boyne City","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"18","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Clinton Area Transit System","St. Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"24","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Clinton Area Transit System","St. Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"24","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","0","1"
"Adrian Dial-A-Ride","Adrian","MI","50323","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"6","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"27","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2022",,,,"13","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"14","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Ogemaw County Public Transportation","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"12","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"16","DR","Demand Response","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Barry County Transit","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2022",,,,"16","DR","Mode Names","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
